Week Number,Username,Rank,Wins,Wins in First 25,Counted Wins,Core Rare,Core Epic,Core Legendary,Trial Rare,Trial Epic,Trial Legendary
51,Wilderness,12,23,22,22,0,0,3,0,0,2
51,Mirage88,12,87,22,22,0,0,3,1,0,2
51,あ,12,22,22,22,0,0,3,0,0,2
51,Demons,11,58,21,21,0,0,2,1,2,1
51,Ayo,12,21,21,21,0,0,2,0,2,1
51,TheHassy,12,21,21,21,0,0,2,0,2,1
51,Resonator,12,20,20,20,0,1,1,1,1,1
51,Gandalf,12,42,20,20,0,1,1,2,1,1
51,Nonchan,12,32,20,20,0,1,1,2,1,1
51,Ἄρης,12,20,20,20,0,1,1,1,1,1
51,⠀r3hab,12,20,20,20,0,1,1,1,1,1
51,Fantomasek,12,38,20,20,0,1,1,2,1,1
51,Wezz,12,30,19,19,0,2,1,1,2,0
51,V-Hirvi,12,31,19,19,0,2,1,1,2,0
51,[Pulse] Aldoc,11,19,19,19,0,2,1,0,2,0
51,SniffOnMe,12,21,19,19,0,2,1,0,2,0
51,[tst]cautionfun,12,30,19,19,0,2,1,1,2,0
51,someonesomeone,12,19,19,19,0,2,1,0,2,0
51,ногоонзалуу,12,19,19,19,0,2,1,0,2,0
51,Ares,9,35,18,18,0,3,0,1,2,0
51,[tst]themudman,12,48,18,18,0,3,0,1,2,0
51,Veloth,12,22,18,18,0,3,0,0,2,0
51,trilldebeest,9,18,18,18,0,3,0,0,2,0
51,roytutu,11,30,18,18,0,3,0,1,2,0
51,flex13,12,30,18,18,0,3,0,1,2,0
51,Pidda1994,8,17,17,17,1,2,0,0,2,0
51,Cindy,9,17,17,17,1,2,0,0,2,0
51,CryptoJoueur,8,19,19,17,1,2,0,0,2,0
51,"漢字, 汉字",8,18,18,17,1,2,0,0,2,0
51,Moonpig,10,18,17,17,1,2,0,0,2,0
51,X Æ A-12,8,20,18,17,1,2,0,0,2,0
51,cholzgu,8,35,17,17,1,2,0,1,2,0
51,ZEALOT,8,17,17,17,1,2,0,0,2,0
51,😎,12,17,17,17,1,2,0,0,2,0
51,raz0r,8,18,18,17,1,2,0,0,2,0
51,[F2P] Mythic Unchain NCP,9,59,17,17,1,2,0,1,2,0
51,Charles Utkins,12,18,17,17,1,2,0,0,2,0
51,Kinch,11,26,17,17,1,2,0,0,2,0
51,PleaseDontRope,8,17,17,17,1,2,0,0,2,0
51,ěĝĝƑơơƴơůňĝ,8,18,17,17,1,2,0,0,2,0
51,Xpwao,8,30,17,17,1,2,0,1,2,0
51,sparky,10,57,17,17,1,2,0,1,2,0
51,Hellicon,9,18,17,17,1,2,0,0,2,0
51,[tst]bonkthatbutt,12,18,17,17,1,2,0,0,2,0
51,zlaxor,12,20,17,17,1,2,0,0,2,0
51,CopperPitch,12,20,17,17,1,2,0,0,2,0
51,ベック,11,30,17,17,1,2,0,1,2,0
51,Surface2AirMissle,9,17,17,17,1,2,0,0,2,0
51,ZENIMOON,10,17,16,16,0,3,0,1,1,0
51,Tripel_Ix,7,17,17,16,0,3,0,1,1,0
51,Bumboklaat,8,16,16,16,0,3,0,1,1,0
51,Apollo,12,22,16,16,0,3,0,1,1,0
51,Excidium,8,16,16,16,0,3,0,1,1,0
51,ザハード,12,30,16,16,0,3,0,2,1,0
51,gohm,9,16,16,16,0,3,0,1,1,0
51,[tst] Unchained Fan,12,16,16,16,0,3,0,1,1,0
51,Slackov,11,17,16,16,0,3,0,1,1,0
51,ValBelair,8,16,16,16,0,3,0,1,1,0
51,三十八,12,16,16,16,0,3,0,1,1,0
51,Ckastigador,12,30,16,16,0,3,0,2,1,0
51,Oxn,8,21,16,16,0,3,0,1,1,0
51,[Mythic] revan,12,17,16,16,0,3,0,1,1,0
51,iluvbitcoins,7,17,17,16,0,3,0,1,1,0
51,TheRabbitRun,7,18,17,16,0,3,0,1,1,0
51,rare,12,17,16,16,0,3,0,1,1,0
51,TheNachoSamurai,12,37,16,16,0,3,0,2,1,0
51,wic3x5,7,17,16,16,0,3,0,1,1,0
51,Starry Ninja,7,16,16,16,0,3,0,1,1,0
51,densdensdens,8,16,16,16,0,3,0,1,1,0
51,Sir Tango,12,17,16,16,0,3,0,1,1,0
51,BlackMagic,12,33,16,16,0,3,0,2,1,0
51,slivenec,7,19,18,16,0,3,0,1,1,0
51,KLMJ,8,16,16,16,0,3,0,1,1,0
51,RavenGuard,12,16,16,16,0,3,0,1,1,0
51,Грумвол,12,16,16,16,0,3,0,1,1,0
51,שלימזל,12,16,16,16,0,3,0,1,1,0
51,[Taiga] VOLK,11,19,16,16,0,3,0,1,1,0
51,VonMises,11,27,16,16,0,3,0,1,1,0
51,DrippSinatra,8,23,16,16,0,3,0,1,1,0
51,MustangKirby,8,34,16,16,0,3,0,2,1,0
51,Lysander,12,31,16,16,0,3,0,2,1,0
51,Scuffle,12,16,16,16,0,3,0,1,1,0
51,七月十日,12,16,16,16,0,3,0,1,1,0
51,allstarrunner,6,16,16,15,1,2,0,2,0,0
51,Akilsainon,11,15,15,15,1,2,0,2,0,0
51,Bozie,5,20,15,15,1,2,0,2,0,0
51,[F2P]BonkNCP,12,15,15,15,1,2,0,2,0,0
51,GodhookzTTV,5,73,15,15,1,2,0,3,0,0
51,PooNaniHunter,8,22,15,15,1,2,0,2,0,0
51,dobindubas,6,16,16,15,1,2,0,2,0,0
51,Cananopie,8,18,15,15,1,2,0,2,0,0
51,Drummerboyj,10,15,15,15,1,2,0,2,0,0
51,アトリ,12,15,15,15,1,2,0,2,0,0
51,Prince,9,19,15,15,1,2,0,2,0,0
51,[Mythic] GGian,12,31,15,15,1,2,0,3,0,0
51,Waikikamukau,11,23,15,15,1,2,0,2,0,0
51,freaky44,8,15,15,15,1,2,0,2,0,0
51,cicada,8,33,15,15,1,2,0,3,0,0
51,AwesomeSparkly,8,15,15,15,1,2,0,2,0,0
51,Returner,10,15,15,15,1,2,0,2,0,0
51,Fëanor,5,49,17,15,1,2,0,3,0,0
51,Elyon,11,23,15,15,1,2,0,2,0,0
51,✜,12,16,15,15,1,2,0,2,0,0
51,Dave,9,39,15,15,1,2,0,3,0,0
51,Sameersh,5,22,15,15,1,2,0,2,0,0
51,JMa14,5,20,16,15,1,2,0,2,0,0
51,theboogyman,8,17,15,15,1,2,0,2,0,0
51,Resplandor,9,18,15,15,1,2,0,2,0,0
51,⌀,6,16,16,15,1,2,0,2,0,0
51,Kolesiff,12,23,14,14,1,2,0,2,0,0
51,ulcus,7,38,14,14,1,2,0,3,0,0
51,Saint777,12,14,14,14,1,2,0,2,0,0
51,TREY,12,15,14,14,1,2,0,2,0,0
51,Dactar,8,14,14,14,1,2,0,2,0,0
51,Kietelaar,6,30,14,14,1,2,0,3,0,0
51,rl958,12,14,14,14,1,2,0,2,0,0
51,superslim,8,28,14,14,1,2,0,2,0,0
51,jnew00,6,14,14,14,1,2,0,2,0,0
51,shaleby_,5,14,14,14,1,2,0,2,0,0
51,Pesaac2020,8,25,14,14,1,2,0,2,0,0
51,魔junior,12,15,14,14,1,2,0,2,0,0
51,0x7d31apuz,9,30,14,14,1,2,0,3,0,0
51,carebear,12,14,14,14,1,2,0,2,0,0
51,vogimania,8,19,14,14,1,2,0,2,0,0
51,Hypnotic,8,14,14,14,1,2,0,2,0,0
51,MasterMirror,9,15,14,14,1,2,0,2,0,0
51,smirnawf,9,14,14,14,1,2,0,2,0,0
51,inklic,6,31,14,14,1,2,0,3,0,0
51,GodMode,7,14,14,14,1,2,0,2,0,0
51,キツネの叫び,12,14,14,14,1,2,0,2,0,0
51,doudou2201,8,17,14,14,1,2,0,2,0,0
51,ProAndyKiller,8,14,14,14,1,2,0,2,0,0
51,noteboom,12,14,14,14,1,2,0,2,0,0
51,TenTon01,5,14,14,14,1,2,0,2,0,0
51,🤡,12,14,14,14,1,2,0,2,0,0
51,ŽŽŽ,8,40,14,14,1,2,0,3,0,0
51,たこ,11,14,14,14,1,2,0,2,0,0
51,Fantasmita,9,15,14,14,1,2,0,2,0,0
51,Easycake001,7,18,14,14,1,2,0,2,0,0
51,sczi*987,5,14,14,14,1,2,0,2,0,0
51,[F2P] notfreedan NCP,12,14,14,14,1,2,0,2,0,0
