Week Number,Place,Username,Peak Rating,Wins,Wins in First 25,Counted Wins,Core Rare,Core Epic,Core Legendary,Trial Rare,Trial Epic,Trial Legendary
47,1.0,自然,1547.926208,31,22,22,0,0,2,0,0,3
47,2.0,The38th,1526.54144,31,22,22,0,0,2,0,1,2
47,3.0,Apollo,1510.245376,22,22,22,0,0,2,0,0,2
47,4.0,[Mythic] revan,1510.175904,30,22,22,0,1,1,0,0,2
47,5.0,Ἄρης,1514.406592,21,21,21,0,0,1,0,0,2
47,6.0,rl958,1507.221408,33,21,21,0,0,1,0,1,1
47,7.0,幻,1512.924544,20,20,20,0,0,1,0,0,1
47,8.0,dallas_barr,1472.119424,20,20,20,0,0,0,0,1,1
47,9.0,Wezz,1459.522624,31,20,20,0,1,0,0,0,1
47,10.0,[tst] Freedan,1457.710592,31,20,20,0,0,0,0,0,1
