Week Number,Username,Rank,Wins,Wins in First 25,Counted Wins,Core Rare,Core Epic,Core Legendary,Trial Rare,Trial Epic,Trial Legendary
44,幻,12,30,21,21,0,0,2,1,2,1
44,Krumpy Lumpkins,12,35,21,21,0,0,2,1,2,1
44,Ἄρης,12,21,21,21,0,0,2,0,2,1
44,[Mythic] revan,11,31,20,20,0,1,1,2,1,1
44,Charles Utkins,12,37,20,20,0,1,1,2,1,1
44,自然,12,37,20,20,0,1,1,2,1,1
44,Akilsainon,11,30,20,20,0,1,1,2,1,1
44,[tst] Freedan,12,52,20,20,0,1,1,2,1,1
44,Archangel1318,12,24,20,20,0,1,1,1,1,1
44,The38th,12,71,20,20,0,1,1,2,1,1
44,[Mythic] Unchained,12,46,20,20,0,1,1,2,1,1
44,[Mythic] Dragonstorm,12,37,20,20,0,1,1,2,1,1
44,[Mythic] Dookis,12,20,20,20,0,1,1,1,1,1
44,Godamnitleeroy,12,36,19,19,0,2,1,1,2,0
44,jama,12,33,19,19,0,2,1,1,2,0
44,[Pulse] Aldoc,12,35,19,19,0,2,1,1,2,0
44,Грумвол,11,23,19,19,0,2,1,0,2,0
44,Lezuziusz,12,19,19,19,0,2,1,0,2,0
44,Lilac,12,26,19,19,0,2,1,0,2,0
44,Woden,11,24,19,19,0,2,1,0,2,0
44,TREY,12,26,19,19,0,2,1,0,2,0
44,kigawakunto27,12,23,19,19,0,2,1,0,2,0
44,F1rst,9,24,19,18,0,3,0,0,2,0
44,noteboom,10,19,18,18,0,3,0,0,2,0
44,ZAFARI,9,30,18,18,0,3,0,1,2,0
44,StrongHands,9,18,18,18,0,3,0,0,2,0
44,[VET] Apollo,12,30,18,18,0,3,0,1,2,0
44,Veloth,12,24,18,18,0,3,0,0,2,0
44,Cerne,12,20,18,18,0,3,0,0,2,0
44,deepbanan4,10,21,18,18,0,3,0,0,2,0
44,carebear,12,30,18,18,0,3,0,1,2,0
44,superslim-NCP,9,35,18,18,0,3,0,1,2,0
44,XSITE,10,30,18,18,0,3,0,1,2,0
44,[Mythic] saints,12,30,18,18,0,3,0,1,2,0
44,imslo,9,20,18,18,0,3,0,0,2,0
44,r3hab,12,36,18,18,0,3,0,1,2,0
44,TheNotoriouszz,9,19,18,18,0,3,0,0,2,0
44,monStar,12,29,18,18,0,3,0,0,2,0
44,naynaysoosoo,9,24,18,18,0,3,0,0,2,0
44,OverM,8,34,20,17,1,2,0,1,2,0
44,quokku,8,24,20,17,1,2,0,0,2,0
44,MyReligion,8,28,18,17,1,2,0,0,2,0
44,Wezz,12,34,17,17,1,2,0,1,2,0
44,Ares,9,42,17,17,1,2,0,1,2,0
44,flex13,12,106,17,17,1,2,0,1,2,0
44,superslim,12,30,17,17,1,2,0,1,2,0
44,V-Hirvi,12,31,17,17,1,2,0,1,2,0
44,[tst]themudman,12,17,17,17,1,2,0,0,2,0
44,JoltzNinja,11,31,17,17,1,2,0,1,2,0
44,Mirage88,12,37,17,17,1,2,0,1,2,0
44,pornhub,10,19,17,17,1,2,0,0,2,0
44,[Mythic] Ducky,12,31,17,17,1,2,0,1,2,0
44,[Pulse] v2,11,35,17,17,1,2,0,1,2,0
44,GreenGuy,12,31,17,17,1,2,0,1,2,0
44,hERoIC15397,9,45,17,17,1,2,0,1,2,0
44,Salernik,10,17,17,17,1,2,0,0,2,0
44,drchronic01,9,17,17,17,1,2,0,0,2,0
44,little1985,11,21,17,17,1,2,0,0,2,0
44,白乌鸦,12,35,17,17,1,2,0,1,2,0
44,GUDecks.com,12,24,17,17,1,2,0,0,2,0
44,dalahad,10,30,17,17,1,2,0,1,2,0
44,Aragon,12,34,17,17,1,2,0,1,2,0
44,Pwned_By_A_Girl,7,22,18,16,0,3,0,1,1,0
44,memory1tb,7,18,18,16,0,3,0,1,1,0
44,skabber,7,20,17,16,0,3,0,1,1,0
44,Mr_Zinger,7,18,17,16,0,3,0,1,1,0
44,mmGRE3Nww,7,19,17,16,0,3,0,1,1,0
44,[tst]cautionfun,12,30,16,16,0,3,0,2,1,0
