Week Number,Place,Username,Peak Rating,Wins,Wins in First 25,Counted Wins,Core Rare,Core Epic,Core Legendary,Trial Rare,Trial Epic,Trial Legendary
44,1.0,Ἄρης,1507.399072,21,,21,0,0,2,0,0,3
44,2.0,Krumpy Lumpkins,1507.016032,35,,21,0,0,2,0,1,2
44,3.0,幻,1478.895136,30,,21,0,0,2,0,0,2
44,4.0,The38th,1533.207136,71,,20,0,1,1,0,0,2
44,5.0,Charles Utkins,1505.671296,37,,20,0,0,1,0,0,2
44,6.0,[tst] Freedan,1504.280448,52,,20,0,0,1,0,1,1
44,7.0,[Mythic] Unchained,1502.999264,46,,20,0,0,1,0,0,1
44,8.0,自然,1500.973632,37,,20,0,0,0,0,1,1
44,9.0,[Mythic] Dragonstorm,1484.323648,37,,20,0,1,0,0,0,1
44,10.0,[Mythic] Dookis,1481.579424,20,,20,0,0,0,0,0,1
45,1.0,[tst]cautionfun,1526.325824,30,,23,0,0,2,0,0,3
45,2.0,DiegoFerreL,1543.183808,71,,22,0,0,2,0,1,2
45,3.0,[Mythic] Ducky,1509.268864,38,,21,0,0,2,0,0,2
45,4.0,Charles Utkins,1478.072832,49,,21,0,1,1,0,0,2
45,5.0,nshrd,1453.703296,31,,21,0,0,1,0,0,2
45,6.0,[tst]themudman,1499.61152,30,,20,0,0,1,0,1,1
45,7.0,SpaceCoastKook,1470.015648,40,,20,0,0,1,0,0,1
45,8.0,[tst]bonkthatbutt,1485.00128,19,,19,0,0,0,0,1,1
45,9.0,Apollo,1476.626368,19,,19,0,1,0,0,0,1
45,10.0,jama,1472.952288,30,,19,0,0,0,0,0,1
46,1.0,Wilderness,1516.134208,24,22,22,0,0,2,0,0,3
46,2.0,[tst]cautionfun,1518.289856,32,21,21,0,0,2,0,1,2
46,3.0,Mirage88,1515.852992,43,21,21,0,0,2,0,0,2
46,4.0,Apollo,1486.894976,21,21,21,0,1,1,0,0,2
46,5.0,jama,1507.800512,20,20,20,0,0,1,0,0,2
46,6.0,[Mythic] saints,1489.634304,31,20,20,0,0,1,0,1,1
46,7.0,[Mythic] revan,1483.734752,36,20,20,0,0,1,0,0,1
46,8.0,Lysander,1468.790752,20,20,20,0,0,0,0,1,1
46,9.0,zlaxor,1466.357728,20,20,20,0,1,0,0,0,1
46,10.0,FoxCries,1481.126496,20,19,19,0,0,0,0,0,1
47,1.0,自然,1547.926208,31,22,22,0,0,2,0,0,3
47,2.0,The38th,1526.54144,31,22,22,0,0,2,0,1,2
47,3.0,Apollo,1510.245376,22,22,22,0,0,2,0,0,2
47,4.0,[Mythic] revan,1510.175904,30,22,22,0,1,1,0,0,2
47,5.0,Ἄρης,1514.406592,21,21,21,0,0,1,0,0,2
47,6.0,rl958,1507.221408,33,21,21,0,0,1,0,1,1
47,7.0,幻,1512.924544,20,20,20,0,0,1,0,0,1
47,8.0,dallas_barr,1472.119424,20,20,20,0,0,0,0,1,1
47,9.0,Wezz,1459.522624,31,20,20,0,1,0,0,0,1
47,10.0,[tst] Freedan,1457.710592,31,20,20,0,0,0,0,0,1
48,1.0,Charles Utkins,1531.896096,31,23,23,0,0,2,0,0,3
48,2.0,三日月,1490.128768,30,21,21,0,0,2,0,1,2
48,3.0,r3hab,1496.305792,30,20,20,0,0,2,0,0,2
48,4.0,☺Mythic☺ Dragonstorm,1494.599648,20,20,20,0,1,1,0,0,2
48,5.0,UnjustOne,1456.910016,38,19,19,0,0,1,0,0,2
48,6.0,GUDecks.com,1456.01552,38,19,19,0,0,1,0,1,1
48,7.0,DiegoFerreL,1453.664032,46,19,19,0,0,1,0,0,1
48,8.0,[Mythic] revan,1480.792704,30,18,18,0,0,0,0,1,1
48,9.0,RavenGuard,1457.536512,20,18,18,0,1,0,0,0,1
48,10.0,TREY,1455.273984,42,18,18,0,0,0,0,0,1
49,1.0,[Mythic] GGian,1526.8808,35,24,24,0,0,2,0,0,3
49,2.0,魔junior,1547.377824,22,22,22,0,0,2,0,1,2
49,3.0,Wezz,1517.142432,38,21,21,0,0,2,0,0,2
49,4.0,[tst]cautionfun,1508.380384,61,21,21,0,1,1,0,0,2
49,5.0,[tst]bonkthatbutt,1495.868576,21,21,21,0,0,1,0,0,2
49,6.0,[Mythic] revan,1494.114624,31,21,21,0,0,1,0,1,1
49,7.0,Lysander,1500.713216,23,20,20,0,0,1,0,0,1
49,8.0,Ayo,1489.115424,28,20,20,0,0,0,0,1,1
49,9.0,Mirage88,1465.060192,48,20,20,0,1,0,0,0,1
49,10.0,r3hab,1510.870976,30,19,19,0,0,0,0,0,1
50,1.0,Mirage88,1533.203168,76,22,22,0,0,2,0,0,3
50,2.0,Wezz,1528.05984,31,21,21,0,0,2,0,1,2
50,3.0,[tst]cautionfun,1511.559552,45,21,21,0,0,2,0,0,2
50,4.0,Ayo,1484.682816,30,21,21,0,1,1,0,0,2
50,5.0,The38th,1505.485216,30,20,20,0,0,1,0,0,2
50,6.0,rl958,1486.345344,21,20,20,0,0,1,0,1,1
50,7.0,ゆかり,1480.203456,22,20,20,0,0,1,0,0,1
50,8.0,Ἄρης,1460.3768,30,20,20,0,0,0,0,1,1
50,9.0,Gandalf,1515.218176,32,19,19,0,1,0,0,0,1
50,10.0,[tst] Freedan,1497.540704,23,19,19,0,0,0,0,0,1
51,1.0,Wilderness,1541.046784,23,22,22,0,0,2,0,0,3
51,2.0,Mirage88,1505.061248,87,22,22,0,0,2,0,1,2
51,3.0,あ,1493.08992,22,22,22,0,0,2,0,0,2
51,4.0,TheHassy,1503.555136,21,21,21,0,1,1,0,0,2
51,5.0,Ayo,1503.04,21,21,21,0,0,1,0,0,2
51,6.0,Nonchan,1510.829792,32,20,20,0,0,1,0,1,1
51,7.0,Resonator,1492.061312,20,20,20,0,0,1,0,0,1
51,8.0,Fantomasek,1486.757728,38,20,20,0,0,0,0,1,1
51,9.0,Gandalf,1477.329472,42,20,20,0,1,0,0,0,1
51,10.0,Ἄρης,1477.278592,20,20,20,0,0,0,0,0,1
