,Username,Place,Peak Rating,Wins,Wins in first 25,Counted Wins,Core Rare,Core Epic,Core Legendary,Trial Rare,Trial Epic,Trial Legendary,,
Elite Tier,Mirage88,1,1533.203168,76,22,22,0,0,2,0,0,3,,"""Counted wins"" are either the total number of wins a player earned, or their maximum allowed for prizes based on the rank they had at the end of their 25th game during the event."
Leaderboard,Wezz,2,1528.05984,31,21,21,0,0,2,0,1,2,,
,[tst]cautionfun,3,1511.559552,45,21,21,0,0,2,0,0,2,,
,Ayo,4,1484.682816,30,21,21,0,1,1,0,0,2,,
,The38th,5,1505.485216,30,20,20,0,0,1,0,0,2,,
,rl958,6,1486.345344,21,20,20,0,0,1,0,1,1,,
,ゆかり,7,1480.203456,22,20,20,0,0,1,0,0,1,,
,Ἄρης,8,1460.3768,30,20,20,0,0,0,0,1,1,,
,Gandalf,9,1515.218176,32,19,19,0,1,0,0,0,1,,
,[tst] Freedan,10,1497.540704,23,19,19,0,0,0,0,0,1,,
,,,,,,,,,,,,,,
,Username,,Rank,Wins,Wins in first 25,Counted Wins,Core Rare,Core Epic,Core Legendary,Trial Rare,Trial Epic,Trial Legendary,,
,Mirage88,,12,76,22,22,0,0,3,1,0,2,,
,Wezz,,12,31,21,21,0,0,2,1,2,1,,
,Ayo,,12,30,21,21,0,0,2,1,2,1,,
,[tst]cautionfun,,12,45,21,21,0,0,2,1,2,1,,
Complete,rl958,,12,21,20,20,0,1,1,1,1,1,,
Weekend,The38th,,12,30,20,20,0,1,1,2,1,1,,
Ranked,ゆかり,,12,22,20,20,0,1,1,1,1,1,,
(Includes,Ἄρης,,12,30,20,20,0,1,1,2,1,1,,
Bonus Prizes,Cryptolemon,,11,20,19,19,0,2,1,0,2,0,,
for 30 Wins),[tst] Freedan,,12,23,19,19,0,2,1,0,2,0,,
,あ,,12,19,19,19,0,2,1,0,2,0,,
,[Mythic] Dragonstorm,,12,37,19,19,0,2,1,1,2,0,,
,[Mythic] revan,,12,30,19,19,0,2,1,1,2,0,,
,TheNachoSamurai,,12,33,19,19,0,2,1,1,2,0,,
,Gandalf,,12,32,19,19,0,2,1,1,2,0,,
,roytutu,,10,35,20,19,0,2,1,1,2,0,,
,Apollo,,12,23,18,18,0,3,0,0,2,0,,
,fluffyhag,,9,18,18,18,0,3,0,0,2,0,,
,TREY,,12,32,18,18,0,3,0,1,2,0,,
,[tst]themudman,,12,30,18,18,0,3,0,1,2,0,,
,Sankhara,,10,27,18,18,0,3,0,0,2,0,,
,superman313,,9,21,19,18,0,3,0,0,2,0,,
,Wasper,,9,21,20,18,0,3,0,0,2,0,,
,channnnn,,10,18,18,18,0,3,0,0,2,0,,
,GUDecks.com,,12,30,18,18,0,3,0,1,2,0,,
,ScrMcDuck,,9,18,18,18,0,3,0,0,2,0,,
,zlaxor,,12,18,18,18,0,3,0,0,2,0,,
,ногоонзалуу,,12,18,18,18,0,3,0,0,2,0,,
,SneezyDwarf,,9,24,18,18,0,3,0,0,2,0,,
,Androssi,,9,18,18,18,0,3,0,0,2,0,,
,Fantomasek,,12,39,18,18,0,3,0,1,2,0,,
,Ares,,9,34,17,17,1,2,0,1,2,0,,
,Demolisher,,8,18,18,17,1,2,0,0,2,0,,
,Moonpig,,11,17,17,17,1,2,0,0,2,0,,
,V-Hirvi,,12,32,17,17,1,2,0,1,2,0,,
,superslim,,8,65,19,17,1,2,0,1,2,0,,
